Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
The Outsiders,S.E. Hinton,"Hinton, S.E.",,670532576,9.78067E+12,3,4.14,208,1997,1967,11/29/11,6/3/09,,,read
Marvels,Kurt Busiek,"Busiek, Kurt",Alex Ross,785100490,9.78079E+12,3,4.29,216,2003,1993,11/24/11,9/7/11,,,read
The Postmortal,Drew Magary,"Magary, Drew",,143119826,9.78014E+12,5,3.75,369,2011,2011,11/18/11,9/16/11,,,read
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,439023491,9.78044E+12,4,4.36,391,2009,2009,11/5/11,11/5/11,,,read
Treasure Island,Robert Louis Stevenson,"Stevenson, Robert Louis",N.C. Wyeth,753453800,9.78075E+12,3,3.85,352,2001,1882,10/18/11,10/21/11,,,read
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,439023483,9.78044E+12,4,4.35,374,2008,2008,10/7/11,7/7/11,,,read
The Killer Inside Me,Jim Thompson,"Thompson, Jim",,679733973,9.78068E+12,4,3.86,244,1991,1952,10/3/11,11/3/10,,,read
Roald Dahl's Book of Ghost Stories,Roald Dahl,"Dahl, Roald",,140071784,9.78014E+12,3,3.64,249,1985,1983,10/2/11,12/15/08,,,read
"A Tale Dark & Grimm (A Tale Dark & Grimm, #1)",Adam Gidwitz,"Gidwitz, Adam",Hugh D'Andrade,525423346,9.78053E+12,4,4.07,256,2010,2010,10/1/11,10/18/11,,,read
"Books of Blood: Volume One (Books of Blood, #1)",Clive Barker,"Barker, Clive",,425083896,9.78043E+12,3,4.05,210,1986,1984,9/13/11,6/7/11,,,read
Death: The High Cost of Living,Neil Gaiman,"Gaiman, Neil","Chris Bachalo, Mark Buckingham",1852864982,9.78185E+12,3,4.2,104,1994,1993,9/4/11,8/11/11,,,read
The Figure in the Shadows,John Bellairs,"Bellairs, John",Mercer Mayer,142402605,9.78014E+12,4,3.92,160,2004,1975,9/3/11,9/3/11,,,read
The Vintage Bradbury: The Greatest Stories by America's Most Distinguished Practioner of Speculative Fiction,Ray Bradbury,"Bradbury, Ray",,679729461,9.78068E+12,4,4.33,329,1990,1965,8/28/11,8/29/11,,,read
Manthropology: The Science of Why the Modern Male Is Not the Man He Used to Be,Peter Mcallister,"Mcallister, Peter",,,,3,3.58,342,,2010,6/29/11,6/30/11,,,read
"A Clash of Kings (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,,,0,4.42,1009,2011,1998,4/26/11,4/7/11,,,read
"52 Loaves: One Man's Relentless Pursuit of Truth, Meaning, and a Perfect Crust",William   Alexander,"Alexander, William",,1565125835,9.78157E+12,4,3.86,352,2010,2010,3/17/11,3/20/11,,,read
True Grit,Charles Portis,"Portis, Charles",,1585673692,9.78159E+12,4,4.17,224,2002,1968,3/3/11,3/20/11,,,read
Something Wicked This Way Comes,Ray Bradbury,"Bradbury, Ray",,380729407,9.78038E+12,4,3.89,293,1998,1962,3/1/11,8/18/09,,,read
Rules for My Unborn Son,Walker Lamond,"Lamond, Walker",,312608950,9.78031E+12,4,4.03,224,2009,2009,2/19/11,4/7/11,,,read
Point Man: How a Man Can Lead His Family,Steve Farrar,"Farrar, Steve",,1590521269,9.78159E+12,1,4.24,350,2003,,2/18/11,4/7/11,,,read
"Ripley's Game (Ripley, #3)",Patricia Highsmith,"Highsmith, Patricia",,99283689,9.7801E+12,3,3.84,255,2006,1974,2/6/11,2/3/11,,,read
Sway: The Irresistible Pull of Irrational Behavior,Ori Brafman,"Brafman, Ori",Rom Brafman,385524382,9.78039E+12,1,3.78,206,2008,2008,1/20/11,1/2/11,,,read
Batman: The Black Casebook,Bill Finger,"Finger, Bill","Ed Herron, Edmond Hamilton, Lew Sayre Schwartz, Sheldon Moldoff, Dick Sprang, Grant Morrison",1401222641,9.7814E+12,4,3.5,144,2009,2009,1/20/11,1/21/11,,,read
"The Magicians (The Magicians, #1)",Lev Grossman,"Grossman, Lev",,670020559,9.78067E+12,4,3.53,402,2009,2009,1/1/11,7/20/09,,,read
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,,,3,4.25,491,2006,1990,12/22/10,1/11/10,,,read
Rework,Jason Fried,"Fried, Jason",David Heinemeier Hansson,307463745,9.78031E+12,4,3.98,279,2010,2010,12/15/10,12/15/10,,,read
Marvel 1985,Mark Millar,"Millar, Mark",Tommy Lee Edwards,1846534062,9.78185E+12,4,3.73,172,2009,2009,12/8/10,12/9/10,,,read
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,812550706,9.78081E+12,4,4.31,324,2004,1985,11/10/10,9/10/08,,,read
A Long Way Down,Nick Hornby,"Hornby, Nick",,1594481938,9.78159E+12,3,3.44,368,2006,2005,10/30/10,10/31/10,,,read
The Haunting of Hill House,Shirley Jackson,"Jackson, Shirley",Laura Miller,143039989,9.78014E+12,3,3.81,182,2006,1959,10/24/10,9/22/10,,,read
Wait Till Helen Comes: A Ghost Story,Mary Downing Hahn,"Hahn, Mary Downing",,547028644,9.78055E+12,3,4.11,184,2008,1986,9/24/10,9/25/10,,,read
The Curse of the Blue Figurine,John Bellairs,"Bellairs, John",,142402583,9.78014E+12,3,4.02,208,2004,1983,9/21/10,7/30/10,,,read
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,553588486,9.78055E+12,4,4.45,835,2005,1996,9/14/10,5/6/10,,,read
